院校ID, 院校名称    , 地区  , 类型  , 院校标签                         , 行业标签, 所属部委, 专业组ID    , 专业组名称, 专业组类别, 批次     , 选考科目, 专业ID        , 专业名称    , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签  , 专业组备注  , 专业备注
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0101 , 法学        ,          0,          0,            0,          0,          0,            0,         17,          0,            0,          0,          0,            0,          0,        625,            0,          0,        657,            0,          0,        611,            0,          0,        648,            0,             ,             , "北京昌平，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0102 , 国际商务    ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,        620,            0,          0,        623,            0,          0,        596,            0,          0,        602,            0,             ,             , "涉外法商人才培养实验班，北京昌平，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0103 , 法学        ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,             , "金融双学士学位项目，北京昌平，在商学院培养，可获得法学和金融工程专业两个学士学位，详见章程，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0104 , 经济学      ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,        620,            0,          0,        621,            0,          0,        609,            0,          0,        610,            0,             ,             , "北京昌平，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0105 , 行政管理    ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,        616,            0,          0,        635,            0,          0,        601,            0,          0,        607,            0,             ,             , "北京昌平，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0106 , 工商管理    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,        614,            0,          0,        614,            0,          0,        599,            0,          0,        599,            0,             ,             , "创新与知产管理方向，北京昌平，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw01 , 专业组01  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0107 , 公共事业管理,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,        615,            0,          0,        615,            0,          0,        607,            0,          0,        607,            0,             ,             , "北京昌平，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw02 , 专业组02  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0201 , 法学        ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,        647,            0,          0,        659,            0,          0,        642,            0,          0,        646,            0, 国家专项计划, 国家专项计划, "北京昌平，国家专项计划，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPBw02 , 专业组02  , 物理组    , 本科批B段, 不限    , ZGZFDXPBw0202 , 工商管理    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,        621,            0,          0,        621,            0,          0,        591,            0,          0,        591,            0, 国家专项计划, 国家专项计划, "创新与知产管理方向，北京昌平，国家专项计划，四年，5000元/年"
  1141, 中国政法大学, 北京市, 政法类, 211、双一流、五院四系、本科、公办, 政法    , 教育部  , ZGZFDXPPAw99, 专业组99  , 物理组    , 本科批A段, 不限    , ZGZFDXPPAw9901, 法学        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 高校专项计划, 高校专项计划, "高校专项计划，5000元/年"
